"Catalogo de sismos - Servicio Sismologico Nacional (SSN) | UNAM - Mexico."
"Informacion sujeta a cambios. Archivo generado el 2020-04-21 a las 14:16:10 (tiempo del centro de Mexico)."
"Sismicidad del 1900-01-01 al 2020-04-21, todas las magnitudes, todas las profundidades, lat. 19.44 a 19.54, long. -102.21 a -102.09."
"Total: 1233 eventos."
Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,"Referencia de localizacion","Fecha UTC","Hora UTC","Estatus"
2007-10-20,14:25:54,3.7,19.47,-102.2,75.0,"10 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2007-10-20,19:25:54,revisado
2007-10-21,06:29:53,3.7,19.53,-102.17,93.0,"13 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2007-10-21,11:29:53,revisado
2017-08-04,08:48:57,3.5,19.5192,-102.188,12.5,"13 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2017-08-04,13:48:57,revisado
2019-04-07,05:27:04,3.5,19.4538,-102.148,86.3,"5 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2019-04-07,10:27:04,revisado
2020-01-05,16:21:46,3.7,19.44,-102.16,16.0,"5 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-05,22:21:46,verificado
2020-01-05,19:08:28,3.8,19.49,-102.12,16.0,"8 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-06,01:08:28,verificado
2020-01-05,23:53:12,3.6,19.51,-102.12,16.0,"10 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-06,05:53:12,verificado
2020-01-06,02:28:14,3.9,19.49,-102.15,2.0,"9 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-06,08:28:14,verificado
2020-01-06,18:39:59,3.7,19.45,-102.15,14.0,"4 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-07,00:39:59,verificado
2020-01-08,08:13:24,3.6,19.48,-102.11,16.0,"8 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-08,14:13:24,verificado
2020-01-08,09:23:20,3.7,19.48,-102.18,15.0,"9 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-08,15:23:20,verificado
2020-01-08,12:07:57,3.6,19.48,-102.12,15.0,"7 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-08,18:07:57,verificado
2020-01-09,17:01:15,3.6,19.45,-102.14,16.0,"4 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-09,23:01:15,verificado
2020-01-09,22:57:35,3.5,19.44,-102.11,16.0,"3 km al NORESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-10,04:57:35,verificado
2020-01-11,03:46:53,3.8,19.48,-102.18,10.0,"9 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-11,09:46:53,verificado
2020-01-11,04:51:11,3.8,19.48,-102.2,3.0,"10 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-11,10:51:11,verificado
2020-01-11,12:21:42,3.8,19.49,-102.15,26.0,"8 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-11,18:21:42,verificado
2020-01-11,14:11:46,3.7,19.44,-102.12,16.0,"3 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-11,20:11:46,verificado
2020-01-11,19:10:07,3.5,19.47,-102.16,10.0,"7 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-12,01:10:07,verificado
2020-01-11,20:12:35,3.6,19.47,-102.13,16.0,"6 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-12,02:12:35,verificado
2020-01-11,20:29:41,3.6,19.48,-102.12,16.0,"7 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-12,02:29:41,verificado
2020-01-12,10:27:22,3.7,19.51,-102.11,16.0,"11 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-12,16:27:22,verificado
2020-01-12,12:54:18,3.6,19.46,-102.12,16.0,"4 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-12,18:54:18,verificado
2020-01-12,19:29:16,3.5,19.52,-102.11,13.0,"12 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-13,01:29:16,verificado
2020-01-13,05:59:59,3.8,19.49,-102.1,15.0,"8 km al NOROESTE de URUAPAN, MICH",2020-01-13,11:59:59,verificado
2020-01-13,13:06:17,3.7,19.53,-102.13,18.0,"13 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-13,19:06:17,verificado
2020-01-13,21:32:59,3.8,19.47,-102.21,30.0,"10 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-14,03:32:59,verificado
2020-01-13,23:30:43,3.8,19.49,-102.1,31.0,"8 km al NOROESTE de URUAPAN, MICH",2020-01-14,05:30:43,verificado
2020-01-14,00:04:07,3.7,19.5,-102.16,15.0,"9 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-14,06:04:07,verificado
2020-01-14,02:10:01,3.7,19.51,-102.16,15.0,"11 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-14,08:10:01,verificado
2020-01-14,05:32:28,3.5,19.47,-102.18,6.0,"8 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-14,11:32:28,verificado
2020-01-14,14:52:17,3.6,19.52,-102.15,15.0,"12 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-14,20:52:17,verificado
2020-01-14,17:04:33,3.7,19.51,-102.16,10.0,"11 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-14,23:04:33,verificado
2020-01-15,05:05:04,3.6,19.48,-102.12,16.0,"7 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-15,11:05:04,verificado
2020-01-15,06:02:08,3.7,19.53,-102.16,23.0,"13 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-15,12:02:08,verificado
2020-01-15,16:24:12,3.7,19.47,-102.12,15.0,"6 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-15,22:24:12,verificado
2020-01-15,20:50:40,3.7,19.49,-102.13,16.0,"8 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-16,02:50:40,verificado
2020-01-15,21:57:36,3.6,19.45,-102.19,15.0,"7 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-16,03:57:36,verificado
2020-01-16,03:12:13,3.7,19.48,-102.15,15.0,"8 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-16,09:12:13,verificado
2020-01-16,08:12:42,3.8,19.48,-102.16,7.0,"8 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-16,14:12:42,verificado
2020-01-16,11:19:05,3.6,19.48,-102.14,17.0,"7 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-16,17:19:05,verificado
2020-01-16,18:08:32,3.6,19.45,-102.17,16.0,"6 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-17,00:08:32,verificado
2020-01-16,19:16:32,3.7,19.52,-102.16,15.0,"12 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-17,01:16:32,verificado
2020-01-16,22:11:16,3.6,19.48,-102.18,15.0,"9 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-17,04:11:16,verificado
2020-01-17,00:31:52,3.6,19.49,-102.11,16.0,"8 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-17,06:31:52,verificado
2020-01-17,01:08:11,3.6,19.52,-102.11,16.0,"11 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-17,07:08:11,verificado
2020-01-17,01:49:31,3.7,19.5,-102.13,15.0,"10 km al NORTE de NVO S J PARANGARICUTIRO, MICH",2020-01-17,07:49:31,verificado
2020-01-17,04:13:47,3.4,19.46,-102.19,14.0,"8 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",2020-01-17,10:13:47,verificado
